FileNumber,BeThickness,EffectiveLaserEnergy,GasPressure,AspectRatio,NozzleLength,TaperLength,TubeDiameter,Time,ElectronFluxLimiter,ShockLocation
1863,64,21,4060,1.238031743,1.61904762,457.142858,476.5079368,766.6666648,0.000000024,0.6,3735.579
1864,64,21,4060,1.238031743,1.61904762,457.142858,476.5079368,766.6666648,2.65E-08,0.6,3981.661
1865,64,21,4060,1.238031743,1.61904762,457.142858,476.5079368,766.6666648,0.000000025,0.6,3839.613
1866,64,21,4060,1.238031743,1.61904762,457.142858,476.5079368,766.6666648,2.55E-08,0.6,3893.631
1867,64,21,4060,1.238031743,1.61904762,457.142858,476.5079368,766.6666648,0.000000026,0.6,3937.646
1868,64,21,4060,1.238031743,1.61904762,457.142858,476.5079368,766.6666648,0.000000027,0.6,4027.676
1869,65,21,2197.567945,1.451770665,1.072290258,432.387914,536.6454352,591.7942838,2.45E-08,0.6,2861.431
1870,65,21,2197.567945,1.451770665,1.072290258,432.387914,536.6454352,591.7942838,1.45E-08,0.6,1794.897
1871,65,21,2197.567945,1.451770665,1.072290258,432.387914,536.6454352,591.7942838,0.000000015,0.6,1854.927
1872,65,21,2197.567945,1.451770665,1.072290258,432.387914,536.6454352,591.7942838,1.55E-08,0.6,1914.958
1873,65,21,2197.567945,1.451770665,1.072290258,432.387914,536.6454352,591.7942838,0.000000016,0.6,1978.99
1874,65,21,2197.567945,1.451770665,1.072290258,432.387914,536.6454352,591.7942838,0.000000025,0.6,2909.455
1875,65,21,2197.567945,1.451770665,1.072290258,432.387914,536.6454352,591.7942838,2.55E-08,0.6,2953.477
1876,65,21,2197.567945,1.451770665,1.072290258,432.387914,536.6454352,591.7942838,0.000000026,0.6,2999.5
1877,65,21,2197.567945,1.451770665,1.072290258,432.387914,536.6454352,591.7942838,2.65E-08,0.6,3043.522
1878,65,21,2197.567945,1.451770665,1.072290258,432.387914,536.6454352,591.7942838,0.000000027,0.6,3087.544
1879,65,21,2197.567945,1.451770665,1.072290258,432.387914,536.6454352,591.7942838,2.05E-08,0.6,2477.239
1880,65,21,2197.567945,1.451770665,1.072290258,432.387914,536.6454352,591.7942838,0.000000021,0.6,2527.264
1881,65,21,2197.567945,1.451770665,1.072290258,432.387914,536.6454352,591.7942838,2.15E-08,0.6,2575.288
1882,65,21,2197.567945,1.451770665,1.072290258,432.387914,536.6454352,591.7942838,0.000000022,0.6,2623.312
1883,65,21,2197.567945,1.451770665,1.072290258,432.387914,536.6454352,591.7942838,2.25E-08,0.6,2671.336
1884,65,21,2197.567945,1.451770665,1.072290258,432.387914,536.6454352,591.7942838,0.000000023,0.6,2719.36
1885,65,21,2197.567945,1.451770665,1.072290258,432.387914,536.6454352,591.7942838,2.35E-08,0.6,2767.384
1886,65,21,2197.567945,1.451770665,1.072290258,432.387914,536.6454352,591.7942838,0.000000024,0.6,2815.408
1887,65,21,2197.567945,1.451770665,1.072290258,432.387914,536.6454352,591.7942838,1.65E-08,0.6,2041.021
1888,65,21,2197.567945,1.451770665,1.072290258,432.387914,536.6454352,591.7942838,0.000000017,0.6,2097.049
1889,65,21,2197.567945,1.451770665,1.072290258,432.387914,536.6454352,591.7942838,1.75E-08,0.6,2153.077
1890,65,21,2197.567945,1.451770665,1.072290258,432.387914,536.6454352,591.7942838,0.000000018,0.6,2207.104
