FileNumber,BeThickness,LaserEnergy,GasPressure,AspectRatio,NozzleLength,TaperLength,TubeDiameter,Time,ElectronFluxLimiter,EnergyScaleFactor,ShockLocation
2541,125,18,3600,1.2032,1,500,500,575,0.000000016,0.1,1.1,2959.32
2542,125,18,3600,1.2032,1,500,500,575,0.000000017,0.1,1.1,3185.395
2543,125,18,3600,1.2032,1,500,500,575,0.000000018,0.1,1.1,3303.435
2544,125,18,3600,1.2032,1,500,500,575,0.000000019,0.1,1.1,3425.475
2545,125,18,3600,1.2032,1,500,500,575,0.00000002,0.1,1.1,3555.519
2546,125,18,3600,1.2032,1,500,500,575,0.000000021,0.1,1.1,3697.566
2547,125,18,3600,1.2032,1,500,500,575,0.000000022,0.1,1.1,3941.647
2548,125,18,3600,1.2032,1,500,500,575,0.000000023,0.1,1.1,4069.69
2549,125,18,3600,1.2032,1,500,500,575,0.000000024,0.1,1.1,4187.729
2550,125,18,3600,1.2032,1,500,500,575,0.000000025,0.1,1.1,4111.704
2551,125,18,3600,1.2032,1,500,500,575,0.000000026,0.1,1.1,4147.716
2552,125,18,3600,1.2032,1,500,500,575,0.000000027,0.1,1.1,4503.835
1482,74,18,3702.631577,1.145625263,1,500,500,575,0.000000006,0.086736842,1.048421053,1198.733
1483,74,18,3702.631577,1.145625263,1,500,500,575,0.000000007,0.086736842,1.048421053,1396.799
1484,74,18,3702.631577,1.145625263,1,500,500,575,0.000000008,0.086736842,1.048421053,1592.864
1485,74,18,3702.631577,1.145625263,1,500,500,575,0.000000009,0.086736842,1.048421053,1790.93
1486,74,18,3702.631577,1.145625263,1,500,500,575,0.00000001,0.086736842,1.048421053,1980.994
1487,74,18,3702.631577,1.145625263,1,500,500,575,0.000000011,0.086736842,1.048421053,2167.056
1488,74,18,3702.631577,1.145625263,1,500,500,575,0.000000012,0.086736842,1.048421053,2345.115
1489,74,18,3702.631577,1.145625263,1,500,500,575,0.000000013,0.086736842,1.048421053,2507.169
1490,74,18,3702.631577,1.145625263,1,500,500,575,0.000000014,0.086736842,1.048421053,2673.224
1491,74,18,3702.631577,1.145625263,1,500,500,575,0.000000015,0.086736842,1.048421053,2813.271
1492,74,18,3702.631577,1.145625263,1,500,500,575,0.000000016,0.086736842,1.048421053,2973.324
1493,74,18,3702.631577,1.145625263,1,500,500,575,0.000000017,0.086736842,1.048421053,3095.365
1494,74,18,3702.631577,1.145625263,1,500,500,575,0.000000018,0.086736842,1.048421053,3241.414
1495,74,18,3702.631577,1.145625263,1,500,500,575,0.000000019,0.086736842,1.048421053,3371.457
1496,74,18,3702.631577,1.145625263,1,500,500,575,0.00000002,0.086736842,1.048421053,3471.49
1497,74,18,3702.631577,1.145625263,1,500,500,575,0.000000021,0.086736842,1.048421053,3843.615
1498,74,18,3702.631577,1.145625263,1,500,500,575,0.000000022,0.086736842,1.048421053,3757.586
1499,74,18,3702.631577,1.145625263,1,500,500,575,0.000000023,0.086736842,1.048421053,3961.654
1500,74,18,3702.631577,1.145625263,1,500,500,575,0.000000024,0.086736842,1.048421053,4197.732
1501,74,18,3702.631577,1.145625263,1,500,500,575,0.000000025,0.086736842,1.048421053,4297.766
1502,74,18,3702.631577,1.145625263,1,500,500,575,0.000000026,0.086736842,1.048421053,4417.806
2010,99,18,3990,1.1,1,500,500,575,0.000000009,0.04,0.4,1084.542
2011,99,18,3990,1.1,1,500,500,575,0.00000001,0.04,0.4,1200.6
2012,99,18,3990,1.1,1,500,500,575,0.000000011,0.04,0.4,1314.657
2013,99,18,3990,1.1,1,500,500,575,0.000000012,0.04,0.4,1424.712
2014,99,18,3990,1.1,1,500,500,575,0.000000013,0.04,0.4,1532.766
2015,99,18,3990,1.1,1,500,500,575,0.000000014,0.04,0.4,1648.824
2016,99,18,3990,1.1,1,500,500,575,0.000000015,0.04,0.4,1758.879
2017,99,18,3990,1.1,1,500,500,575,0.000000016,0.04,0.4,1874.938
2018,99,18,3990,1.1,1,500,500,575,0.000000017,0.04,0.4,1980.99
2019,99,18,3990,1.1,1,500,500,575,0.000000018,0.04,0.4,2105.052
2020,99,18,3990,1.1,1,500,500,575,0.000000019,0.04,0.4,2169.084
2021,99,18,3990,1.1,1,500,500,575,0.00000002,0.04,0.4,2311.156
2022,99,18,3990,1.1,1,500,500,575,0.000000021,0.04,0.4,2413.207
2023,99,18,3990,1.1,1,500,500,575,0.000000022,0.04,0.4,2443.222
2024,99,18,3990,1.1,1,500,500,575,0.000000023,0.04,0.4,2619.31
2025,99,18,3990,1.1,1,500,500,575,0.000000024,0.04,0.4,2715.358
2026,99,18,3990,1.1,1,500,500,575,0.000000025,0.04,0.4,2809.405
2027,99,18,3990,1.1,1,500,500,575,0.000000026,0.04,0.4,2901.451
2028,99,18,3990,1.1,1,500,500,575,0.000000027,0.04,0.4,2993.497
2155,107,18,3990,1.1,1,500,500,575,0.000000009,0.1,0.4,1102.551
2156,107,18,3990,1.1,1,500,500,575,0.00000001,0.1,0.4,1220.61
2157,107,18,3990,1.1,1,500,500,575,0.000000011,0.1,0.4,1332.666
2158,107,18,3990,1.1,1,500,500,575,0.000000012,0.1,0.4,1442.721
2159,107,18,3990,1.1,1,500,500,575,0.000000013,0.1,0.4,1552.776
2160,107,18,3990,1.1,1,500,500,575,0.000000014,0.1,0.4,1668.834
2161,107,18,3990,1.1,1,500,500,575,0.000000015,0.1,0.4,1782.891
2162,107,18,3990,1.1,1,500,500,575,0.000000016,0.1,0.4,1890.945
2163,107,18,3990,1.1,1,500,500,575,0.000000017,0.1,0.4,1994.998
2164,107,18,3990,1.1,1,500,500,575,0.000000018,0.1,0.4,2095.048
2165,107,18,3990,1.1,1,500,500,575,0.000000019,0.1,0.4,2195.098
2166,107,18,3990,1.1,1,500,500,575,0.00000002,0.1,0.4,2339.17
2167,107,18,3990,1.1,1,500,500,575,0.000000021,0.1,0.4,2433.217
2168,107,18,3990,1.1,1,500,500,575,0.000000022,0.1,0.4,2525.263
2169,107,18,3990,1.1,1,500,500,575,0.000000023,0.1,0.4,2611.306
2170,107,18,3990,1.1,1,500,500,575,0.000000024,0.1,0.4,2693.347
2171,107,18,3990,1.1,1,500,500,575,0.000000025,0.1,0.4,2781.391
2172,107,18,3990,1.1,1,500,500,575,0.000000026,0.1,0.4,2939.47
2173,107,18,3990,1.1,1,500,500,575,0.000000027,0.1,0.4,3035.518
2309,115,18,3990,1.1,1,500,500,575,0.000000005,0.04,1.1,1042.681
2310,115,18,3990,1.1,1,500,500,575,0.000000006,0.04,1.1,1254.752
2311,115,18,3990,1.1,1,500,500,575,0.000000007,0.04,1.1,1460.82
2312,115,18,3990,1.1,1,500,500,575,0.000000008,0.04,1.1,1662.888
2313,115,18,3990,1.1,1,500,500,575,0.000000009,0.04,1.1,1874.958
2314,115,18,3990,1.1,1,500,500,575,0.00000001,0.04,1.1,2063.021
2315,115,18,3990,1.1,1,500,500,575,0.000000011,0.04,1.1,2233.078
2316,115,18,3990,1.1,1,500,500,575,0.000000012,0.04,1.1,2385.128
2317,115,18,3990,1.1,1,500,500,575,0.000000013,0.04,1.1,2573.191
2318,115,18,3990,1.1,1,500,500,575,0.000000014,0.04,1.1,2723.241
2319,115,18,3990,1.1,1,500,500,575,0.000000015,0.04,1.1,2893.298
2320,115,18,3990,1.1,1,500,500,575,0.000000016,0.04,1.1,3043.348
2321,115,18,3990,1.1,1,500,500,575,0.000000017,0.04,1.1,3159.386
2322,115,18,3990,1.1,1,500,500,575,0.000000018,0.04,1.1,3315.438
2323,115,18,3990,1.1,1,500,500,575,0.000000019,0.04,1.1,3441.48
2324,115,18,3990,1.1,1,500,500,575,0.00000002,0.04,1.1,3829.61
2325,115,18,3990,1.1,1,500,500,575,0.000000021,0.04,1.1,3953.651
2326,115,18,3990,1.1,1,500,500,575,0.000000022,0.04,1.1,4069.69
2327,115,18,3990,1.1,1,500,500,575,0.000000023,0.04,1.1,4181.728
2328,115,18,3990,1.1,1,500,500,575,0.000000024,0.04,1.1,4283.761
2329,115,18,3990,1.1,1,500,500,575,0.000000025,0.04,1.1,4391.797
2330,115,18,3990,1.1,1,500,500,575,0.000000026,0.04,1.1,4501.834
